term	clusteroccurences	genomeoccurences	pvalue	correctedpvalue	oddsratio	module	invert
GO:0005524: ATP binding	239	677	7.7492258089626e-35	6.87356329254983e-32	2.98719240417584	turquoise	FALSE
GO:0005515: protein binding	507	1919	1.17657131279626e-33	1.04361875445028e-30	2.05145487938179	turquoise	FALSE
GO:0003676: nucleic acid binding	309	988	1.35837125580664e-33	1.20487530390049e-30	2.51992559500094	turquoise	FALSE
IPR016024: Armadillo-type fold	105	212	1.38446330660058e-29	8.95193974047935e-26	5.21187022524002	turquoise	FALSE
GO:0005488: binding	105	212	1.38446330660058e-29	1.22801895295471e-26	5.21187022524002	turquoise	FALSE
GO:0046872: metal ion binding	238	780	4.18522883314699e-24	3.71229797500138e-21	2.38326563275808	turquoise	FALSE
IPR007087: Zinc finger, C2H2	204	638	1.44515776867809e-23	9.34439013227253e-20	2.53606494270122	turquoise	FALSE
IPR015880: Zinc finger, C2H2-like	189	601	7.33629586516975e-21	4.74364890641876e-17	2.46367273789452	turquoise	FALSE
IPR001650: Helicase, C-terminal	53	89	2.434110989372e-20	1.57389616572794e-16	7.69718428065637	turquoise	FALSE
GO:0004672: protein kinase activity	99	243	4.9859491375884e-20	4.42253688504091e-17	3.63236792281408	turquoise	FALSE
IPR000618: Insect cuticle protein	0	248	6.89602992845208e-20	4.45897295173712e-16	0	turquoise	FALSE
GO:0042302: structural constituent of cuticle	0	249	7.01097697134749e-20	6.21873657358522e-17	0	turquoise	FALSE
GO:0005634: nucleus	199	658	8.54465631277527e-20	2.11907476556827e-17	2.32970033743082	turquoise	FALSE
IPR014001: Helicase superfamily 1/2, ATP-binding domain	53	91	1.00735351629029e-19	6.51354783633301e-16	7.29406324005081	turquoise	FALSE
IPR000719: Protein kinase domain	97	239	1.63840442029138e-19	1.05939229816041e-15	3.60675231011148	turquoise	FALSE
GO:0006468: protein phosphorylation	98	243	2.98221987672063e-19	2.08755391370444e-16	3.56916876690344	turquoise	FALSE
GO:0008270: zinc ion binding	239	864	4.11454357048161e-18	3.64960014701719e-15	2.06290466773042	turquoise	FALSE
GO:0005549: odorant binding	0	210	8.1055697365294e-17	7.18964035630158e-14	0	turquoise	FALSE
IPR001254: Serine proteases, trypsin domain	11	373	1.08844311165053e-16	7.03787315993233e-13	0.152476734508746	turquoise	FALSE
IPR009003: Peptidase S1, PA clan	12	377	3.31560187348269e-16	2.14386817139391e-12	0.164996757412672	turquoise	FALSE
GO:0006508: proteolysis	32	590	4.1280528522325e-16	2.88963699656275e-13	0.285713639362383	turquoise	FALSE
IPR011009: Protein kinase-like domain	109	313	8.21557479524346e-16	5.31219066260442e-12	2.8217474299053	turquoise	FALSE
GO:0004252: serine-type endopeptidase activity	15	391	7.07572106099158e-15	6.27616458109953e-12	0.200274578857219	turquoise	FALSE
IPR001314: Peptidase S1A, chymotrypsin family	8	309	8.40914705582359e-15	5.43735448629553e-11	0.133841525486633	turquoise	FALSE
IPR011989: Armadillo-like helical	60	135	1.04062328794416e-14	6.72867017984694e-11	4.18312136203193	turquoise	FALSE
IPR017441: Protein kinase, ATP binding site	64	154	6.54930094124434e-14	4.23477798860859e-10	3.72001470716889	turquoise	FALSE
IPR013087: Zinc finger C2H2-type	154	531	8.83060393739583e-14	5.70986850592014e-10	2.16807060660235	turquoise	FALSE
IPR008271: Serine/threonine-protein kinase, active site	64	155	9.40240794333931e-14	6.0795969761632e-10	3.67885781103165	turquoise	FALSE
IPR011993: PH domain-like	64	156	1.34378880964615e-13	8.68893844317201e-10	3.6385958322871	turquoise	FALSE
IPR001487: Bromodomain	19	21	1.52088754143565e-13	9.83405884292291e-10	49.1458821175749	turquoise	FALSE
No GO terms for molecular function	967	6951	5.47524791957088e-13	4.85654490465937e-10	0.727860031516035	turquoise	FALSE
IPR013083: Zinc finger, RING/FYVE/PHD-type	84	242	1.84632514594425e-12	1.19383383936755e-08	2.78889181990204	turquoise	FALSE
IPR012934: Zinc finger, AD-type	103	322	2.34576640953976e-12	1.51677256040841e-08	2.47472900840156	turquoise	FALSE
IPR011545: DEAD/DEAH box helicase domain	33	60	7.51095171835523e-12	4.85658138108849e-08	6.34567940952316	turquoise	FALSE
IPR018114: Serine proteases, trypsin family, histidine active site	7	251	9.53312509288285e-12	6.16411868505805e-08	0.145049909022528	turquoise	FALSE
IPR000330: SNF2-related, N-terminal domain	17	20	2.66924660237991e-11	1.72593485309885e-07	29.2742728270599	turquoise	FALSE
IPR027417: P-loop containing nucleoside triphosphate hydrolase	151	559	6.33321726217652e-11	4.09505828172334e-07	1.95723428614257	turquoise	FALSE
GO:0003735: structural constituent of ribosome	0	134	6.44852636256044e-11	5.71984288359111e-08	0	turquoise	FALSE
GO:0005576: extracellular region	4	198	8.43420570821797e-11	2.09168301563806e-08	0.104527830025339	turquoise	FALSE
IPR015943: WD40/YVTN repeat-like-containing domain	77	229	9.47466721788714e-11	6.12631982308582e-07	2.6513245823173	turquoise	FALSE
IPR031311: Chitin-binding type R&amp;R consensus	0	131	9.97445514225568e-11	6.44948269498252e-07	0	turquoise	FALSE
