term	clusteroccurences	genomeoccurences	pvalue	correctedpvalue	oddsratio	module	invert
No GO terms for biological process	1	381	1.5855665267526e-06	0.00035992360157284	0.0438154093553898	green	FALSE
GO:0003735: structural constituent of ribosome	9	53	1.57769462611195e-05	0.00542726951382511	8.67682453410503	green	FALSE
GO:0006412: translation	9	55	2.17266674536362e-05	0.00493195351197542	8.28033346589862	green	FALSE
No GO terms for molecular function	1	340	2.44449315719644e-05	0.00840905646075575	0.0537658430486257	green	FALSE
GO:0005840: ribosome	8	49	7.22465087814403e-05	0.00267312082491329	7.87519857345419	green	FALSE
No GO terms for cellular component	12	617	0.00127583951735943	0.0472060621422989	0.274234118635654	green	FALSE
GO:0008152: metabolic process	4	23	0.000184582717632383	0.0419002769025509	20.9540015537075	brown	FALSE
GO:0003924: GTPase activity	4	10	2.07807446336923e-06	0.000714857615399015	87.2426774127205	black	FALSE
IPR004161: Translation elongation factor EFTu-like, domain 2	3	5	1.20816913408105e-05	0.0196085850461354	164.585300770853	black	FALSE
IPR031157: Tr-type G domain, conserved site	3	5	1.20816913408105e-05	0.0196085850461354	164.585300770853	black	FALSE
GO:0005525: GTP binding	4	16	1.73937628636349e-05	0.00598345442509041	44.1723360487775	black	FALSE
IPR000795: Transcription factor, GTP-binding domain	3	6	2.40114767658206e-05	0.0389706267909268	111.01679405408	black	FALSE
GO:0005840: ribosome	5	49	2.72589389362517e-05	0.00100858074064131	29.4173583490581	lightyellow	FALSE
GO:0003735: structural constituent of ribosome	5	53	4.05107910362809e-05	0.0139357121164806	26.8609454885749	lightyellow	FALSE
GO:0006412: translation	5	55	4.88010297635566e-05	0.0110778337563273	25.7336853645912	lightyellow	FALSE
GO:0006457: protein folding	4	9	3.05864183653609e-08	6.94311696893692e-06	570.239585467085	greenyellow	FALSE
GO:0051082: unfolded protein binding	3	7	3.54294315254808e-06	0.00121877244447654	275.996855956156	greenyellow	FALSE
